ID,SIC_CD_3,CF_Number,Validity,Proximity,Sparsity,Realism,Robustness,QualityScore,Immutable_Violated
91451,L68,1,1.0,0.1332553601010054,0.27419354838709675,0.5619191771494821,1.0,0.8558730406039526,False
91451,L68,1,1.0,0.16296487915419966,0.27419354838709675,0.48065295577739947,1.0,0.8435424027789219,False
91451,L68,1,0.0,0.20615657411244231,0.27419354838709675,0.4196673348197131,0.1,0.1764115898993742,False
52274,G47,1,1.0,0.143874016163054,0.27419354838709675,0.512086895575733,0.9,0.8380451586444195,False
52274,G47,1,1.0,0.16686874981022287,0.27419354838709675,0.5080915629030295,1.0,0.8461573734977671,False
52274,G47,1,1.0,0.2240946840648623,0.25806451612903225,0.4049040183018605,1.0,0.826541538929559,False
52274,G47,1,1.0,0.15973967241440576,0.25806451612903225,0.45695837319735155,1.0,0.8394759129902197,False
25857,L68,1,1.0,0.11755664062878343,0.3548387096774194,0.5715764944526409,1.0,0.8676509515001418,False
25857,L68,1,1.0,0.16108183153255456,0.3548387096774194,0.5234979960690581,1.0,0.857472763801547,False
25857,L68,1,0.0,0.089515436285116,0.3548387096774194,0.5216908593672991,0.4,0.2430015703066225,False
25857,L68,1,0.0,0.14014021015472658,0.3709677419354839,0.43315255718142465,0.0,0.18488667655135357,False
10261,L68,1,1.0,0.23892498027354658,0.1935483870967742,0.5607604849480985,1.0,0.8350426546412585,False
10261,L68,1,1.0,0.23604968925859987,0.1935483870967742,0.5627024078791738,1.0,0.8355779006352608,False
10261,L68,1,1.0,0.22912789912502232,0.1774193548387097,0.5302334171139984,1.0,0.8309472080919651,False
10261,L68,1,1.0,0.29736590752490394,0.1935483870967742,0.38951248458568477,1.0,0.8095216626841728,False
44749,G46,1,1.0,0.11399338008256006,0.27419354838709675,0.5212393554893767,0.8,0.8312710581993238,False
44749,G46,1,0.0,0.1135750785404939,0.22580645161290322,0.600616702844899,0.0,0.19031645287970092,False
44749,G46,1,1.0,0.18555969563300637,0.24193548387096775,0.4811626474022248,0.6,0.7930598261822428,False
44749,G46,1,0.0,0.1981723635078313,0.24193548387096775,0.4518808953778759,0.4,0.2106271128601125,False
50710,L68,1,0.0,0.08535390656745177,0.3225806451612903,0.5884925250890087,0.0,0.2028576959647608,False
50710,L68,1,0.0,0.12764934200644584,0.27419354838709675,0.6007969377665747,0.0,0.1941490160163584,False
18977,G46,1,1.0,0.11157228718116276,0.22580645161290322,0.5449530878867136,1.0,0.8510208058131615,False
18977,G46,1,1.0,0.12066328331597605,0.22580645161290322,0.49038184227479475,1.0,0.8439472233968579,False
18977,G46,1,1.0,0.10291444430546372,0.22580645161290322,0.5477434406289989,1.0,0.8522928275484931,False
18977,G46,1,1.0,0.1034924485168838,0.22580645161290322,0.5480736048631952,1.0,0.8522652897732461,False
55078,L68,1,1.0,0.06213357933404369,0.27419354838709675,0.503112060840827,1.0,0.8572413366548756,False
55078,L68,1,1.0,0.1428327104786335,0.3064516129032258,0.4343407718474591,0.9,0.8331066304746725,False
55078,L68,1,1.0,0.1381396991445887,0.3064516129032258,0.4612365949215242,1.0,0.8477276120755736,False
55078,L68,1,1.0,0.18027755378600063,0.3225806451612903,0.3890264424308374,0.8,0.814592170422903,False
50362,L68,1,0.0,0.08760437985945158,0.2903225806451613,0.49738182195111547,0.2,0.21112222474853615,False
50362,L68,1,1.0,0.07573335992343525,0.2903225806451613,0.5526078028096817,1.0,0.8630218915034897,False
50362,L68,1,0.0,0.06396039305005839,0.2903225806451613,0.5600658593583916,0.1,0.20960311632816608,False
50362,L68,1,0.0,0.08187375010737916,0.2903225806451613,0.5303493046585146,0.1,0.20431090391069964,False
137392,L68,1,0.0,0.027378493315834924,0.3548387096774194,0.5885466049888926,0.3,0.246222980150053,False
137392,L68,1,0.0,0.05422648029197881,0.3709677419354839,0.5944261746398947,0.4,0.25679638180926667,False
137392,L68,1,0.0,0.047365451979677876,0.3548387096774194,0.6029946978509636,0.6,0.27894088394985617,False
137392,L68,1,0.0,0.046622492400882946,0.3548387096774194,0.582593123857629,0.8,0.298978815681574,False
95507,L68,1,1.0,0.1360220205179015,0.25806451612903225,0.5783765905804785,1.0,0.8556021206879565,False
95507,L68,1,1.0,0.15107399986658157,0.25806451612903225,0.5795859227422397,1.0,0.8540640487782989,False
95507,L68,1,1.0,0.15007269311188942,0.24193548387096775,0.5574654175978769,1.0,0.8499253564841062,False
95507,L68,1,1.0,0.1762111738043681,0.25806451612903225,0.5894363782716474,1.0,0.8523655245107012,False
77949,L68,1,0.0,0.08740680136754828,0.2903225806451613,0.524337805701825,0.1,0.20302817610882645,False
77949,L68,1,0.0,0.1824663909810537,0.3064516129032258,0.4215166539071451,0.0,0.17172243064770193,False
75498,F42,1,0.0,0.09660320619592125,0.1935483870967742,0.5831406446482312,0.0,0.18667620283878714,False
75498,F42,1,1.0,0.15556710996998926,0.1935483870967742,0.4498680817700508,1.0,0.8319832620996483,False
75498,F42,1,0.0,0.11584602399640603,0.20967741935483872,0.5948124873949113,0.0,0.1876270980837049,False
75498,F42,1,1.0,0.12982062101687247,0.20967741935483872,0.5399147783956991,1.0,0.8466412863037407,False
83629,L68,1,1.0,0.10525960556146022,0.3548387096774194,0.5399392323367479,0.9,0.854390926272523,False
83629,L68,1,0.0,0.14168797041451234,0.3387096774193548,0.4750751052635879,0.0,0.18578853469649229,False
83629,L68,1,1.0,0.14911253508870292,0.2903225806451613,0.4911930213229335,1.0,0.8480447852088213,False
83629,L68,1,1.0,0.13084517933940526,0.3064516129032258,0.532961801811189,0.8,0.8342853594861122,False
5231,G46,1,1.0,0.22926183804229847,0.1935483870967742,0.43955347512190557,0.9,0.8115377804640423,False
5231,G46,1,1.0,0.20760650735372915,0.1935483870967742,0.49435535574529743,1.0,0.8311441372764825,False
5231,G46,1,1.0,0.23333030586162787,0.1935483870967742,0.4214464512527625,1.0,0.820184948054212,False
5231,G46,1,1.0,0.2617624295116146,0.1935483870967742,0.42503851357576383,1.0,0.8174249412401026,False
35400,L68,1,1.0,0.09353674236325686,0.2903225806451613,0.50071565303463,0.9,0.8441668323685039,False
35400,L68,1,1.0,0.04587976081350102,0.2903225806451613,0.5704850258530175,1.0,0.8683253161871863,False
35400,L68,1,1.0,0.049232320965496665,0.2903225806451613,0.5680956962744896,1.0,0.8676873284393505,False
35400,L68,1,1.0,0.05104829865512791,0.2903225806451613,0.5568126766291055,1.0,0.8662318842910154,False
7761,G46,1,1.0,0.023302525526420127,0.5967741935483871,0.5673253053342702,1.0,0.904532997039582,False
7761,G46,1,1.0,0.07364352973873493,0.22580645161290322,0.5734720633588734,0.8,0.8361816650258934,False
7761,G46,1,1.0,0.06734120529406168,0.22580645161290322,0.5939793220136924,1.0,0.861382729814726,False
7761,G46,1,1.0,0.061637656288980026,0.22580645161290322,0.5916600887711849,1.0,0.8617587648994565,False
107931,L68,1,1.0,0.14983732919792833,0.24193548387096775,0.5346581963346072,1.0,0.847417372334183,False
109871,L68,1,0.0,0.15513545088836475,0.3548387096774194,0.40789426519769534,0.0,0.17862194710963888,False
109871,L68,1,0.0,0.20388424180283357,0.3548387096774194,0.39669888050898205,0.0,0.17196148315372975,False
109871,L68,1,1.0,0.15050872852667666,0.3870967741935484,0.425273421684754,1.0,0.8513179408168473,False
109871,L68,1,1.0,0.1706065194938249,0.3709677419354839,0.4140258441505328,0.5,0.7904874518435769,False
6660,L68,1,1.0,0.1054375343849266,0.3548387096774194,0.5637268860534846,0.9,0.8570142290384419,False
6660,L68,1,1.0,0.0904113066565306,0.3225806451612903,0.5386221912629914,1.0,0.8634212810853056,False
6660,L68,1,1.0,0.14231336083619633,0.3548387096774194,0.5258957586429184,1.0,0.8598245674982379,False
6660,L68,1,1.0,0.09421923744244826,0.3225806451612903,0.5575276299230671,1.0,0.8650987819602121,False
115806,G46,1,1.0,0.0866355430784465,0.22580645161290322,0.5830063553634762,1.0,0.8580196959886592,False
115806,G46,1,1.0,0.10120778798172493,0.22580645161290322,0.5714817855672327,1.0,0.8551200499109346,False
115806,G46,1,1.0,0.09515560299588076,0.22580645161290322,0.5943943589131915,1.0,0.8583383563922459,False
115806,G46,1,1.0,0.07938444254958596,0.22580645161290322,0.5753311111209929,1.0,0.8579725689093678,False
87464,L68,1,1.0,0.2988874200771064,0.3225806451612903,0.4577644091993503,0.9,0.8201619593648372,False
87464,L68,1,1.0,0.2906886091802445,0.3225806451612903,0.4499935845097216,1.0,0.8313206244989741,False
87464,L68,1,1.0,0.29721936087147605,0.3225806451612903,0.3804740002421618,1.0,0.8228705871702195,False
87464,L68,1,0.0,0.255855724141049,0.2903225806451613,0.5931573868219806,0.0,0.18084713814734366,False
9499,G46,1,0.0,0.1151625451668555,0.20967741935483872,0.48714567889362026,0.0,0.1757400614535115,False
9499,G46,1,1.0,0.13533476107572856,0.1935483870967742,0.49100766899205217,1.0,0.8388023661125664,False
42358,L68,1,1.0,0.07637951388247517,0.3225806451612903,0.5546568013730669,1.0,0.8667619925168757,False
42358,L68,1,1.0,0.07658216435216766,0.3225806451612903,0.562404984167051,1.0,0.8676003849973526,False
42358,L68,1,1.0,0.05914199641215625,0.3225806451612903,0.5547159163425504,1.0,0.8686838405657427,False
42358,L68,1,1.0,0.07253253430930222,0.3225806451612903,0.5241759563911927,1.0,0.8638026741381312,False
4684,G46,1,1.0,0.07115802180744663,0.25806451612903225,0.5904970183349982,1.0,0.8641559458507315,False
4684,G46,1,1.0,0.05895168548694474,0.25806451612903225,0.5614674100959703,1.0,0.8622866934153397,False
4684,G46,1,1.0,0.08272346438115027,0.25806451612903225,0.5665995967672404,1.0,0.8602156276127914,False
4684,G46,1,1.0,0.08347844710326341,0.25806451612903225,0.5955485796500963,0.9,0.8522371831862073,False
44695,L68,1,0.0,0.09230630426596702,0.3387096774193548,0.5902592083666268,0.0,0.20407362016889052,False
44695,L68,1,0.0,0.09323488083616101,0.3225806451612903,0.5971828562341119,0.0,0.20294762450658235,False
44695,L68,1,0.0,0.08029072264399292,0.3225806451612903,0.5908094503703641,0.0,0.20367770809862906,False
44695,L68,1,0.0,0.08223455455917394,0.3225806451612903,0.6011306629879176,0.0,0.20460852817667044,False
33436,L68,1,0.0,0.1629096507784378,0.24193548387096775,0.5961603679238203,0.0,0.18613180011292782,False
33436,L68,1,0.0,0.14437933695995434,0.22580645161290322,0.6054009404325307,0.0,0.18742533945394216,False
33436,L68,1,0.0,0.14927449816734573,0.22580645161290322,0.6025957788319662,0.2,0.20879197025305818,False
33436,L68,1,0.0,0.14197183712593145,0.24193548387096775,0.6014711712173864,0.0,0.18904831310693587,False
9065,G47,1,0.0,0.05990767449266941,0.24193548387096775,0.6025847701820228,0.0,0.19829028661781345,False
9065,G47,1,0.0,0.06852549637229222,0.24193548387096775,0.6019538891946993,0.4,0.24170709741037497,False
9065,G47,1,1.0,0.059852704235681474,0.24193548387096775,0.6029067781186972,1.0,0.8649988397504427,False
9065,G47,1,0.0,0.054990368222222315,0.24193548387096775,0.6034099049964854,0.1,0.21003944673835898,False
5797,L68,1,1.0,0.047851942305241035,0.27419354838709675,0.5688464119048326,1.0,0.8661320019985209,False
5797,L68,1,1.0,0.09148685874024205,0.27419354838709675,0.5967722168960052,1.0,0.8643865451714289,False
